#ID	X	Y	Effort	/	Rgd	Topo	Water
TostSLT006	632706.0195	4778936.777	111	/	51.93264771	Saddle	No
TostSLT019	636021.798	4780144.324	111	/	66.14378357	Saddle	No
TostSLT035	627435.7052	4777608.495	113	/	44.68780518	Saddle	No
TostSLT037	637807.9759	4786073.048	112	/	67.19374847	Saddle	No
TostSLT018	630428.78	4777095.25	118	/	40.98780441	Saddle	No
TostSLT016	645666.9474	4783490.499	115	/	49.33558655	Saddle	No
TostSLT036	641043.4293	4780209.897	116	/	74.30342865	Canyon	No
TostSLT101	630316.2736	4781951.277	123	/	64.39720154	Canyon	Yes
TostSLT034	625204.5293	4780908.741	112	/	45.23273087	Saddle	No
TostSLT033	624047.3018	4778150.262	119	/	65.64297485	Saddle	No
TostSLT024	645765.2428	4780153.863	112	/	49.0917511	Saddle	No
TostSLT029	649006.9571	4780135.192	107	/	38.05259705	Saddle	No
TostSLT040	651589.6022	4778486.695	114	/	72.49137878	Saddle	No
TostSLT009	649597.8285	4776822.679	103	/	106.193222	Saddle	No
TostSLT022	645967.0394	4776619.471	114	/	71.88880157	Saddle	No
TostSLT032	617691.9321	4784643.799	65	/	46.84015274	Saddle	No
TostSLT011	619235.8337	4776852.336	110	/	48.07286072	Saddle	No
TostSLT015	629351.8749	4791345.998	102	/	59.42221832	Saddle	No
TostSLT021	614960.1243	4777460.891	107	/	44.83302307	Saddle	No
TostSLT014	603942.7749	4774276.924	104	/	27.12932014	Saddle	No
TostSLT104	635280.1868	4777026.569	115	/	66.603302	Canyon	Yes
TostSLT003	613134.2732	4786335.972	110	/	33.54101944	Canyon	Yes
TostSLT012	634034.2081	4793235.649	109	/	90.10549164	Saddle	No
TostSLT020	631573.4078	4790375.53	103	/	37.24245071	Saddle	No
TostSLT023	647597.3403	4797696.358	111	/	19.23538399	Saddle	No
TostSLT028	648263.3037	4794253.146	91	/	29.27456284	Saddle	No
TostSLT027	643920.6003	4791126.276	72	/	61.07372665	Saddle	No
TostSLT017	635780.6376	4794024.795	89	/	51.12729263	Saddle	No
TostSLT001	641240.8144	4790506.631	104	/	64.05466461	Saddle	No
TostSLT030	632284.2264	4781261.591	122	/	35.08560944	Saddle	No
TostSLT007	606967.7549	4789725.138	86	/	25.3771553	Saddle	No
TostSLT031	607668.2519	4787844.478	102	/	48.53864288	Saddle	No
TostSLT103	610347.4634	4787656.451	102	/	75.31268311	Canyon	Yes
TostSLT039	609563.3585	4789688.804	102	/	57.33236313	Saddle	No
TostSLT008	659047.476	4773985.54	102	/	54.30469513	Saddle	No
TostSLT025	665714.0264	4776415.626	102	/	91.94020081	Saddle	No
TostSLT002	631345.0936	4781344.489	103	/	81.67619324	Saddle	No
TostSLT005	628775.2306	4780165.522	102	/	44.84417343	Canyon	Yes
TostSLT026	589888.8505	4783075.06	102	/	14.6287384	Canyon	No
TostSLT102	630425.0274	4782682.149	102	/	58.65151215	Canyon	No
